fold,epoch,train_spearman,val_spearman
0,1,0.04877877531939243,0.22132603184497712
0,2,0.07731705192611907,0.26250203011642786
0,3,0.06625512565475218,0.3020245358030309
0,4,0.09027921910767257,0.28508631908020104
0,5,0.05326896104355647,0.3127924021482585
0,6,0.1944591715340161,0.3492095681023427
0,7,0.1644410534326867,0.34945154262695455
0,8,0.18465577712832937,0.3534844513704855
0,9,0.30559926735029,0.3341264894015371
0,10,0.33701545792670057,0.34021618160426875
1,1,0.10615509735513118,0.2601449519014572
1,2,0.029228195691222734,0.16101626196571828
1,3,0.01125735483138954,0.18256833748843915
1,4,0.015721506637792516,0.1806139931085451
1,5,0.004741106732536593,0.19673733424267129
1,6,0.034533895997212724,0.2176379616387608
1,7,0.07606809484548224,0.23446703824340434
1,8,0.10938651210159224,0.21302353740845534
1,9,0.17706624216652309,0.23169838370522106
1,10,0.2232938819143448,0.23919003716148174
2,1,-0.12732727473271113,-0.34720527106549626
2,2,-0.13343020017800686,-0.3870565093707463
2,3,-0.1484195965147627,-0.38803378769430835
2,4,-0.15317882641695868,-0.37929257602244837
2,5,-0.1600320846028355,-0.31973289152536477
2,6,-0.13011986033237646,-0.2143497123012634
2,7,-0.06975464624567274,-0.1333441979260139
2,8,-0.03868363866281579,0.019545566471239822
2,9,0.04937156559737961,0.14610310937251766
2,10,0.13437695079920003,0.25137770211622323
3,1,-0.041625326504160474,-0.06548017722804911
3,2,-0.062484370672713924,0.08655506742308319
3,3,-0.1626315915522267,0.1536563900507503
3,4,-0.004880818443531221,0.17748017896687582
3,5,0.022642390406948532,0.23598238251830828
3,6,-0.01203662084007359,0.282572691611678
3,7,0.012875342412964213,0.3530572742037653
3,8,0.08634735219818253,0.38230837597948153
3,9,0.19050420330680468,0.46639648301184167
3,10,0.16942871486137626,0.4867665273809549
4,1,0.06357211281924348,-0.007959792864602435
4,2,0.10803269437408096,-0.10730413073242899
4,3,0.18562649622292468,-0.08286348469304072
4,4,0.16790386254440204,-0.05403474771547423
4,5,0.17767622608738431,0.012194810863076807
4,6,0.29794190304482265,0.10123223745750788
4,7,0.35589832899037427,0.1498073836568766
4,8,0.3428198216146492,0.1642982886155118
4,9,0.3464748591919227,0.17195193560070646
4,10,0.31872945976142447,0.16337985097728844
